leftEAR,xLStart,xLEnd,yLStart,yLEnd,xL,yL,wL,hL,xLPoint,yLPoint,xLEst,xLMi,xLM,yLEst,yLMi,yLM,rightEAR,xRStart,xREnd,yRStart,yREnd,xR,yR,wR,hR,xRPoint,yRPoint,xREst,xRMi,xRM,yREst,yRMi,yRM,xOut,yOut
0.360301879,224,246,105,114,3,0,19,8,12,4,-0.5,745,-683,0.292341887,341,224,0.383917036,171,192,102,110,6,0,11,7,11,3,-1,715,-1366,0.153429202,288,117,651,390
0.377123617,224,245,105,114,0,0,21,7,10,3,-1.5,650,-2049,0.19339049,256,148,0.383482494,171,192,102,110,7,0,11,7,12,3,-0.5,780,-683,0.155985327,288,119,651,390
0.360301879,224,246,104,113,0,0,22,8,11,4,-1,683,-1366,0.292341887,341,224,0.383917036,171,192,101,109,6,0,12,7,12,3,-0.5,780,-683,0.153429202,288,117,651,390
0.380058475,224,245,104,113,0,0,21,7,10,3,-1.5,650,-2049,0.176126617,256,135,0.382434708,171,192,101,109,6,0,12,7,12,3,-0.5,780,-683,0.162148775,288,124,651,390
0.360301879,224,246,104,113,0,0,22,7,11,3,-1,683,-1366,0.292341887,256,224,0.357142857,171,192,101,109,6,0,12,7,12,3,-0.5,780,-683,0.31092437,288,238,651,390
0.337783012,224,246,104,113,0,0,22,7,11,3,-1,683,-1366,0.424805813,256,326,0.360317275,171,192,101,109,6,0,12,7,12,3,-0.5,780,-683,0.292251322,288,224,651,390
0.395574541,225,245,103,112,0,0,20,7,10,3,-1.5,683,-2049,0.08485564,256,65,0.359909446,171,192,101,109,6,0,13,6,12,3,-0.5,780,-683,0.294650319,288,226,651,390
0.379236371,225,246,102,111,3,0,18,8,12,4,-0.5,780,-683,0.180962526,341,138,0.351776695,171,191,100,107,7,0,11,7,12,3,-0.5,819,-683,0.342490028,329,263,651,390
0.329983165,225,246,103,111,0,0,21,7,10,3,-1.5,650,-2049,0.470687267,288,361,0.382001845,171,192,100,108,7,0,11,7,12,3,-0.5,780,-683,0.16469503,288,126,651,390
0.333333333,225,246,103,111,0,0,21,7,10,3,-1.5,650,-2049,0.450980392,288,346,0.364674777,171,193,100,108,7,0,12,7,13,3,0,807,0,0.266618961,288,204,651,390
0.355534097,225,246,103,111,0,0,21,7,10,3,-1.5,650,-2049,0.320387663,288,246,0.342524268,171,193,100,108,7,0,11,7,12,3,-0.5,745,-683,0.396916068,288,304,651,390
0.347884762,226,246,102,110,0,0,20,7,10,3,-1.5,683,-2049,0.365383753,288,280,0.335025424,172,193,100,107,6,0,11,7,11,3,-1,715,-1366,0.441026917,329,338,651,390
0.333333333,226,247,102,110,3,0,18,7,12,3,-0.5,780,-683,0.450980392,288,346,0.335025424,172,193,100,107,7,0,10,7,12,3,-0.5,780,-683,0.441026917,329,338,651,390
0.398652989,227,247,102,111,0,0,20,7,10,3,-1.5,683,-2049,0.066747125,256,51,0.382001845,172,193,99,107,7,0,14,8,14,4,0.5,910,683,0.16469503,384,126,651,390
